timestamp,open,high,low,close,volume
1766160000000,432.28,439.79,431.0,433.08,15786.846
1766163600000,433.1,438.29,429.27,429.33,15308.928
1766167200000,429.34,439.0,429.33,436.86,14286.982
1766170800000,436.9,446.94,436.32,440.94,17439.159
1766174400000,440.93,457.79,439.1,451.24,26026.776
1766178000000,451.19,454.11,447.36,447.87,16230.085
1766181600000,447.86,450.08,446.42,449.09,8963.342
1766185200000,449.08,450.0,443.72,444.02,11752.639
1766188800000,444.03,452.0,442.54,450.0,12033.596
1766192400000,450.06,451.34,445.8,449.56,5531.796
1766196000000,449.5,451.4,446.58,446.79,9403.518
1766199600000,446.84,448.97,442.81,446.32,15447.178
1766203200000,446.34,448.47,434.8,439.42,33858.177
1766206800000,439.44,444.25,437.83,443.05,7956.966
1766210400000,443.02,450.31,442.72,447.68,16778.578
1766214000000,447.6,451.25,446.11,449.78,10155.932
1766217600000,449.77,456.2,449.65,452.42,15519.402
1766221200000,452.43,453.49,448.0,449.35,9433.894
1766224800000,449.4,451.03,445.11,446.52,6714.267
1766228400000,446.54,449.12,443.04,446.92,10529.001
1766232000000,446.9,451.98,446.41,449.7,7074.605
1766235600000,449.7,451.48,446.38,449.2,7182.883
1766239200000,449.24,451.1,447.17,450.04,6416.568
1766242800000,450.04,450.29,447.26,449.34,4737.029
1766246400000,449.35,450.84,447.62,449.31,3951.816
1766250000000,449.35,453.99,448.0,448.28,6321.883
1766253600000,448.29,451.1,448.29,450.68,3901.066
1766257200000,450.71,451.43,448.26,451.14,2947.718
1766260800000,451.14,453.46,449.06,450.19,6217.424
1766264400000,450.16,452.3,448.01,448.61,5955.481
1766268000000,448.62,449.74,443.37,444.76,14948.684
1766271600000,444.78,448.12,443.97,447.1,5657.126
1766275200000,447.09,450.95,446.18,450.57,6323.919
1766278800000,450.57,451.64,445.76,447.07,7423.217
1766282400000,447.09,448.75,441.35,443.67,8782.917
1766286000000,443.67,448.67,442.03,447.41,9577.32
1766289600000,447.42,447.59,445.13,445.74,4066.743
1766293200000,445.73,448.35,445.25,446.86,3446.029
1766296800000,446.86,446.99,442.79,444.42,4041.025
1766300400000,444.44,446.17,441.79,442.02,4814.309
1766304000000,442.02,444.85,437.73,439.6,13555.245
1766307600000,439.51,445.39,437.96,443.29,14189.141
1766311200000,443.33,443.94,436.37,438.88,9484.592
1766314800000,438.88,440.0,436.98,438.62,4043.221
1766318400000,438.62,440.17,435.19,436.84,7121.189
1766322000000,436.84,436.85,431.14,432.87,24956.879
1766325600000,432.93,434.62,430.82,432.06,9603.088
1766329200000,432.04,436.47,431.65,435.09,6755.34
1766332800000,435.12,435.17,428.5,432.24,11726.914
