Rank,Strategy,Description,Final Value,Return %,Trades,Win Rate %,Sharpe,Max DD %,Avg P&L,SQN
1,RSIOnly,RSI oversold/overbought,55429.505511507974,10.308903700956225,11,90.9090909090909,0,3.5858712754374444,493.59141013708614,3.7129052423604043
2,MACD,MACD line/signal crossover,52941.0729343096,5.715645815277329,82,39.02439024390244,0,4.78310935500713,30.412520644912497,1.0535895722291522
3,ADXTrend,ADX trend confirmation + MA,52901.0868264936,5.64008781493283,36,44.44444444444444,0,6.08199050163212,34.487294517770245,0.49322405402885383
4,MultiSignal,RSI + EMA crossover + Momentum + F&G filter,51871.81755759829,3.675262295357124,4,25.0,0,2.5713210575948615,-18.310012176972634,-0.0902528535796545
5,MAcrossover,MA(20/50) golden/death cross,51284.99220584807,2.537515435399271,28,50.0,0,4.651521421529303,-10.688638453326703,-0.24118286534921185
6,SimpleMomentum,Pure 24h momentum,50393.640314354474,0.784197744827741,47,40.42553191489361,0,12.625278532610956,-50.62770219614324,-0.8535380946606358
7,BollingerBands,Bollinger Bands mean reversion,49729.65655643485,-0.5421538889938381,25,64.0,0,11.279184774736725,-10.81373774260665,-0.0776587915696012
8,Stochastic,Stochastic oscillator,44415.389836294264,-11.843697811353008,61,60.65573770491803,0,14.838418029527208,-55.62517859181746,-0.9981936415582916
