pair,pnl,pnlcomm,baropen,barclose
ETH/USD,-365.07048931061627,-371.5412873992943,227,284
BTC/USD,-137.8675694746128,-144.40252926256557,423,447
SOL/USD,474.4855602674797,461.01378013094194,624,741
